"...1","ID","Case Number","Date","Block","IUCR","Primary Type","Description","Location Description","Arrest","Domestic","Beat","District","Ward","Community Area","FBI Code","X Coordinate","Y Coordinate","Year","Updated On","Latitude","Longitude","Location"
4478602,2408708,"HH719277","10/17/2002 02:12:34 AM","045XX S FEDERAL ST","0291","CRIM SEXUAL ASSAULT","ATTEMPT NON-AGGRAVATED","CHA PARKING LOT/GROUNDS",FALSE,FALSE,221,2,3,38,"02",1176455,1874785,2002,"04/15/2016 08:55:02 AM",41.811762307,-87.628286589,"(41.811762307, -87.628286589)"
4478827,2409001,"HH724712","06/15/2002 03:00:00 PM","013XX S KARLOV AVE","0265","CRIM SEXUAL ASSAULT","AGGRAVATED: OTHER","APARTMENT",FALSE,FALSE,1011,10,24,29,"02",1149263,1893540,2002,"04/15/2016 08:55:02 AM",41.863797393,-87.727541335,"(41.863797393, -87.727541335)"
4478861,2409051,"HH717246","10/16/2002 03:45:00 AM","017XX N LONG AVE","0265","CRIM SEXUAL ASSAULT","AGGRAVATED: OTHER","RESIDENCE",FALSE,TRUE,2532,25,37,25,"02",1140129,1911059,2002,"04/15/2016 08:55:02 AM",41.912043686,-87.760642995,"(41.912043686, -87.760642995)"
4481339,2412169,"HH720836","10/17/2002 06:05:00 PM","073XX S KIMBARK AVE","0266","CRIM SEXUAL ASSAULT","PREDATORY","RESIDENCE",TRUE,FALSE,324,3,5,43,"02",1186149,1856566,2002,"04/15/2016 08:55:02 AM",41.761544148,-87.593305009,"(41.761544148, -87.593305009)"
4482106,2413193,"HH723600","10/18/2002 09:00:00 PM","079XX S KOSTNER AVE","0261","CRIM SEXUAL ASSAULT","AGGRAVATED: HANDGUN","VEHICLE NON-COMMERCIAL",FALSE,FALSE,834,8,13,70,"02",1148447,1851635,2002,"04/15/2016 08:55:02 AM",41.748819579,-87.731613842,"(41.748819579, -87.731613842)"
4482703,2413908,"HH725951","10/20/2002 02:59:14 AM","047XX S VINCENNES AVE","0263","CRIM SEXUAL ASSAULT","AGGRAVATED: KNIFE/CUT INSTR","HOTEL/MOTEL",FALSE,FALSE,223,2,3,38,"02",1180398,1873719,2002,"04/15/2016 08:55:02 AM",41.808747436,-87.613856692,"(41.808747436, -87.613856692)"
4482809,2414025,"HH726998","10/20/2002 05:40:00 AM","004XX S CLINTON ST","0281","CRIM SEXUAL ASSAULT","NON-AGGRAVATED","APARTMENT",FALSE,FALSE,131,1,2,28,"02",1172798,1898242,2002,"04/15/2016 08:55:02 AM",41.8762118,-87.641006667,"(41.8762118, -87.641006667)"
4483162,2414552,"HH729683","10/21/2002 08:00:00 AM","069XX N WAYNE AVE","0265","CRIM SEXUAL ASSAULT","AGGRAVATED: OTHER","NURSING HOME/RETIREMENT HOME",FALSE,FALSE,2431,24,49,1,"02",1165889,1945918,2002,"04/15/2016 08:55:02 AM",42.007187234,-87.665009243,"(42.007187234, -87.665009243)"
4483706,2415266,"HH731883","10/21/2002 10:00:00 PM","049XX N TROY ST","0281","CRIM SEXUAL ASSAULT","NON-AGGRAVATED","OTHER",FALSE,FALSE,1713,17,33,14,"02",1154484,1932670,2002,"04/15/2016 08:55:02 AM",41.971070708,-87.707326679,"(41.971070708, -87.707326679)"
4484058,2415713,"HH730110","10/21/2002 01:15:00 PM","044XX W JACKSON BLVD","0265","CRIM SEXUAL ASSAULT","AGGRAVATED: OTHER","APARTMENT",FALSE,FALSE,1113,11,28,26,"02",1146841,1898318,2002,"04/15/2016 08:55:02 AM",41.876955358,-87.736310466,"(41.876955358, -87.736310466)"
